id,pred
S001,D20
S002,D20
S003,D16
S004,D20
S005,D20
S006,D20
S007,D1
S008,D1
S009,D3
S010,D12
S011,D20
S012,D12
S013,D1
S014,D15
S015,D20
S016,D1
S017,D15
S018,D20
S019,D20
S020,D20
S021,D20
S022,D20
S023,D1
S024,D20
S025,D20
S026,D20
S027,D15
S028,D20
S029,D16
S030,D1
S031,D15
S032,D28
S033,D15
S034,D1
S035,D12
S036,D1
S037,D1
S038,D1
S039,D4
S040,D20
S041,D1
S042,D12
S043,D1
S044,D20
S045,D20
S046,D12
S047,D12
S048,D1
S049,D20
S050,D1
S051,D20
S052,D12
S053,D12
S054,D12
S055,D20
S056,D20
S057,D20
S058,D20
S059,D20
S060,D20
S061,D15
S062,D15
S063,D3
S064,D20
S065,D15
S066,D3
S067,D1
S068,D20
S069,D20
S070,D1
S071,D12
S072,D1
S073,D12
S074,D1
S075,D12
S076,D1
S077,D12
S078,D20
S079,D3
S080,D12
S081,D12
S082,D1
S083,D20
S084,D1
S085,D1
S086,D1
S087,D1
S088,D20
S089,D1
S090,D1
S091,D15
S092,D15
S093,D15
S094,D16
S095,D12
S096,D20
S097,D20
S098,D12
S099,D20
S100,D12
