Text,Label
W4721 W32 W154 W346 W160 W93 W346 W550 W38 W1562 W28 W4752 W97 W28 W533 W17 W1874 W24 <pad> <pad>,D20
W926 W59 W2187 W149 W32 W183 W300 W183 W2896 W2897 W634 W746 W17 W2892 W97 W480 W1195 W17 W2893 W24,D20
W13 W1707 W31 W5107 W13 W5185 W19 W26 W1934 W97 W2344 W1702 W38 W46 W24 <pad> <pad> <pad> <pad> <pad>,D20
W34 W111 W69 W113 W1580 W45 W51 W38 W56 W383 W19 W3546 W38 W421 W15 W34 W24 <pad> <pad> <pad>,D15
W2220 W627 W290 W1211 W17 W5232 W4081 W24 <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,D20
W306 W12 W93 W290 W2109 W312 W12 W111 W110 W32 W113 W1582 W38 W435 W1478 W641 W13 W426 W24 <pad>,D27
W111 W110 W32 W2214 W36 W246 W337 W5371 W398 W12 W206 W765 <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,D28
W32 W34 W335 W38 W2181 W461 <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,D12
W183 W4873 W4874 W556 W280 W12 W494 W1015 W32 W1988 W24 W494 <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,D16
W26 W2061 W32 W125 W253 W1120 W408 W300 W330 W4273 W24 <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,D20
W462 W32 W463 W12 W149 W32 W246 W391 W45 W464 W465 W97 W466 W32 W335 W38 W32 W467 W398 W24,D12
W941 W12 W19 W566 W24 <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,D1
W708 W3600 W32 W1120 W2518 W24 <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,D20
W113 W1649 W154 W34 W270 W19 W4701 W24 <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,D20
W306 W149 W32 W404 W592 W19 W28 W2964 W154 W13 W910 W132 W24 <pad> <pad> <pad> <pad> <pad> <pad> <pad>,D12
