id,pred
S001,D20
S002,D20
S003,D3
S004,D20
S005,D20
S006,D20
S007,D12
S008,D1
S009,D1
S010,D12
S011,D20
S012,D20
S013,D28
S014,D15
S015,D20
S016,D1
S017,D15
S018,D12
S019,D15
S020,D20
S021,D20
S022,D20
S023,D1
S024,D20
S025,D20
S026,D20
S027,D20
S028,D20
S029,D16
S030,D20
S031,D15
S032,D15
S033,D15
S034,D4
S035,D12
S036,D12
S037,D1
S038,D1
S039,D20
S040,D20
S041,D20
S042,D12
S043,D15
S044,D20
S045,D20
S046,D12
S047,D15
S048,D1
S049,D15
S050,D20
S051,D12
S052,D16
S053,D15
S054,D15
S055,D20
S056,D20
S057,D1
S058,D20
S059,D20
S060,D20
S061,D12
S062,D15
S063,D20
S064,D20
S065,D20
S066,D12
S067,D1
S068,D20
S069,D20
S070,D20
S071,D12
S072,D1
S073,D15
S074,D1
S075,D15
S076,D12
S077,D20
S078,D1
S079,D12
S080,D12
S081,D15
S082,D1
S083,D20
S084,D1
S085,D1
S086,D1
S087,D1
S088,D1
S089,D1
S090,D28
S091,D15
S092,D16
S093,D12
S094,D15
S095,D12
S096,D20
S097,D20
S098,D20
S099,D1
S100,D12
