id,pred
S001,3
S002,0
S003,1
S004,0
S005,3
S006,1
S007,3
S008,0
S009,1
S010,0
S011,5
S012,1
S013,0
S014,4
S015,1
S016,0
S017,5
S018,1
S019,1
S020,0
S021,3
S022,1
S023,4
S024,5
S025,0
S026,1
S027,1
S028,5
S029,1
S030,0
S031,0
S032,1
S033,1
S034,4
S035,4
S036,0
S037,0
S038,3
S039,3
S040,3
S041,4
S042,3
S043,0
S044,1
S045,5
S046,3
S047,0
S048,3
S049,4
S050,3
S051,3
S052,4
S053,1
S054,3
S055,2
S056,3
S057,5
S058,4
S059,1
S060,4
S061,4
S062,1
S063,3
S064,4
S065,5
S066,1
S067,0
S068,0
S069,1
S070,3
S071,4
S072,1
S073,5
S074,1
S075,3
S076,4
S077,3
S078,1
S079,0
S080,2
S081,0
S082,0
S083,1
S084,5
S085,0
S086,4
S087,4
S088,3
S089,3
S090,3
S091,0
S092,5
S093,1
S094,3
S095,0
S096,3
S097,1
S098,1
S099,3
S100,0
S101,4
S102,3
S103,3
S104,0
S105,5
S106,5
S107,1
S108,3
S109,1
S110,3
S111,3
S112,1
S113,0
S114,5
S115,1
S116,3
S117,3
S118,0
S119,5
S120,1
S121,0
S122,0
S123,3
S124,0
S125,3
S126,3
S127,1
S128,1
S129,0
S130,1
S131,4
S132,5
S133,4
S134,1
S135,1
S136,1
S137,3
S138,5
S139,5
S140,3
S141,3
S142,0
S143,5
S144,3
S145,1
S146,1
S147,3
S148,1
S149,2
S150,5
S151,5
S152,4
S153,1
S154,4
S155,5
S156,1
S157,1
S158,0
S159,0
S160,3
S161,0
S162,0
S163,0
S164,0
S165,5
S166,0
S167,0
S168,5
S169,0
S170,3
S171,4
S172,1
S173,0
S174,4
S175,0
S176,4
S177,1
S178,5
S179,3
S180,1
S181,0
S182,1
S183,5
S184,5
S185,3
S186,0
S187,1
S188,0
S189,3
S190,1
S191,1
S192,5
S193,5
S194,0
S195,5
S196,0
S197,4
S198,0
S199,3
S200,0
S201,3
S202,0
S203,4
S204,3
S205,4
S206,1
S207,1
S208,0
S209,1
S210,5
S211,4
S212,3
S213,3
S214,5
S215,1
S216,3
S217,1
S218,4
S219,3
S220,1
S221,3
S222,3
S223,4
S224,3
S225,0
S226,2
S227,3
S228,1
S229,5
S230,1
S231,4
S232,1
S233,3
S234,5
S235,5
S236,5
S237,0
S238,0
S239,1
S240,3
S241,3
S242,3
S243,0
S244,1
S245,1
S246,3
S247,0
S248,5
S249,0
S250,0
S251,5
S252,1
S253,3
S254,1
S255,1
S256,1
S257,3
S258,1
S259,3
S260,3
S261,3
S262,5
S263,3
S264,4
S265,4
S266,4
S267,0
S268,0
S269,1
S270,3
S271,5
S272,1
S273,1
S274,0
S275,1
S276,4
S277,5
S278,0
S279,5
S280,0
S281,3
S282,3
S283,3
S284,5
S285,3
S286,0
S287,5
S288,4
S289,5
S290,1
S291,3
S292,1
S293,1
S294,0
S295,1
S296,2
S297,1
S298,4
S299,5
S300,4
S301,0
S302,3
S303,5
S304,3
S305,0
S306,0
S307,0
S308,3
S309,3
S310,3
S311,4
S312,3
S313,3
S314,0
S315,0
S316,0
S317,5
S318,5
S319,3
S320,4
S321,0
S322,0
S323,0
S324,3
S325,4
S326,1
S327,3
S328,4
S329,3
S330,3
S331,1
S332,3
S333,4
S334,3
S335,4
S336,1
S337,0
S338,3
S339,5
S340,0
S341,3
S342,4
S343,0
S344,3
S345,3
S346,0
S347,1
S348,0
S349,4
S350,3
S351,0
S352,4
S353,2
S354,0
S355,1
S356,1
S357,0
S358,4
S359,4
S360,0
S361,3
S362,4
S363,3
S364,3
S365,1
S366,1
S367,3
S368,3
S369,5
S370,4
S371,0
S372,4
S373,1
S374,3
S375,1
S376,3
S377,0
S378,0
S379,3
S380,0
S381,0
S382,0
S383,3
S384,4
S385,0
S386,3
S387,3
S388,1
S389,0
S390,3
S391,0
S392,3
S393,3
S394,0
S395,3
S396,5
S397,4
S398,1
S399,3
S400,5
S401,0
S402,4
S403,4
S404,3
S405,1
S406,3
S407,3
S408,1
S409,0
S410,5
S411,0
S412,3
S413,4
S414,1
S415,1
S416,4
S417,4
S418,3
S419,1
S420,3
S421,0
S422,5
S423,1
S424,1
S425,0
S426,3
S427,1
S428,0
S429,5
S430,4
S431,3
S432,1
S433,5
S434,0
S435,0
S436,4
S437,4
S438,1
S439,3
S440,1
S441,0
S442,3
S443,0
S444,0
S445,3
S446,0
S447,5
S448,5
S449,4
S450,4
S451,3
S452,0
S453,3
S454,0
S455,3
S456,1
S457,1
S458,0
S459,4
S460,1
S461,1
S462,5
S463,3
S464,3
S465,1
S466,5
S467,3
S468,2
S469,1
S470,3
S471,5
S472,0
S473,3
S474,5
S475,3
S476,1
S477,1
S478,3
S479,3
S480,1
S481,4
S482,3
S483,3
S484,3
S485,5
S486,1
S487,1
S488,1
S489,1
S490,1
S491,3
S492,3
S493,5
S494,0
S495,3
S496,3
S497,1
S498,3
S499,0
S500,5
